,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
174,279,95,117,175,159,73,132,104
175,280,85,120,175,159,73,133,104
176,279,87,118,176,159,74,133,108
177,280,86,118,176,160,71,133,105
178,280,85,118,180,160,71,133,105
179,281,85,118,177,160,71,133,104
180,281,96,118,176,159,73,132,108
181,275,92,117,178,161,80,133,103
182,280,71,116,176,159,73,136,103
183,275,89,120,175,159,73,132,112
184,280,87,118,176,159,73,133,105
185,275,74,124,176,159,73,133,105
186,279,89,118,180,159,73,140,103
187,280,85,116,175,159,73,133,104
188,281,92,118,177,160,71,133,105
189,279,101,118,176,159,73,133,105
190,275,85,116,175,159,73,140,103
191,280,89,115,175,159,73,132,104
192,279,92,115,175,159,73,132,108
193,283,87,115,178,160,80,136,103
194,281,101,120,175,159,73,133,108
195,280,86,120,175,159,73,132,104
196,283,85,116,175,159,73,133,104
197,279,88,115,175,159,73,133,104
198,279,92,124,175,160,74,131,105
199,284,87,118,180,159,73,133,105
200,284,85,118,176,160,71,133,105
201,283,95,118,176,160,73,133,103
202,288,91,118,176,160,73,131,105
203,279,98,115,177,160,74,131,103
204,288,71,116,176,159,73,133,104
205,288,99,120,175,159,73,133,104
206,284,74,115,177,161,76,131,103
207,284,102,115,175,161,72,140,106
208,279,79,120,175,159,73,132,108
209,281,99,120,177,160,73,131,103
210,284,78,118,177,160,77,131,103
211,284,104,118,177,160,77,133,103
212,281,75,120,175,159,73,132,105
213,279,102,115,175,159,73,132,105
214,281,75,116,177,160,72,132,103
215,284,94,118,176,159,73,133,105
216,279,89,115,175,159,72,131,103
217,284,85,118,176,161,71,131,105
218,285,93,118,177,160,77,131,103
219,285,88,115,175,159,73,132,104
220,279,89,117,177,164,71,133,106
221,292,71,118,176,160,71,133,105
222,288,95,118,176,159,73,133,104
223,285,87,118,180,160,71,133,105
224,284,86,118,176,159,73,131,105
225,283,87,116,176,159,73,133,105
226,284,80,118,177,160,78,131,103
227,288,93,118,175,160,78,131,103
228,284,89,118,184,160,71,133,105
229,284,83,118,180,160,71,131,103
230,279,104,118,184,160,71,133,105
231,281,87,116,176,159,73,133,104
232,288,88,115,175,159,72,136,103
233,284,104,115,175,160,74,131,104
234,286,91,118,175,161,71,133,105
235,279,88,115,175,159,73,132,112
236,292,99,117,175,159,73,132,107
237,288,85,118,176,159,73,133,105
238,285,73,118,177,160,73,131,103
239,286,87,118,176,160,71,134,105
240,286,90,117,175,161,76,131,103
241,286,83,118,177,159,73,132,104
242,286,88,115,177,160,74,131,105
243,286,101,120,176,159,73,133,105
244,286,83,118,176,161,71,133,105
245,286,85,118,176,164,73,131,103
246,286,90,120,173,159,73,133,105
247,281,80,118,177,160,72,136,105
248,288,96,115,175,159,73,133,105
249,285,96,115,175,159,73,136,104
250,286,79,116,176,159,73,133,105
251,279,97,117,177,160,76,131,103
252,279,89,118,176,164,71,131,103
253,284,75,115,175,159,73,132,104
254,281,96,115,177,161,72,136,105
255,279,89,118,176,164,72,131,103
256,286,89,115,175,159,72,131,103
