,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,272,91,121,175,163,75,134,110
1,273,90,125,176,161,73,131,107
2,272,83,123,176,161,74,134,112
3,272,78,121,175,165,75,134,110
4,272,91,121,175,165,76,131,109
5,271,108,124,175,168,73,134,110
6,275,95,121,179,165,72,134,108
7,274,91,120,175,160,75,132,109
8,272,92,120,182,168,74,130,109
9,269,87,123,175,165,75,137,107
10,271,105,125,175,170,73,134,109
11,269,92,123,174,163,79,130,109
12,271,88,126,175,164,75,136,109
13,272,85,127,172,164,72,133,111
14,271,102,122,176,163,74,133,110
15,272,89,126,173,164,72,133,112
16,275,93,122,173,161,74,131,109
17,271,81,123,176,163,78,131,118
18,274,94,122,175,160,75,131,110
19,271,92,121,175,164,75,134,110
20,271,71,121,175,164,75,134,110
21,275,92,121,176,168,74,134,107
22,273,93,123,173,163,75,133,109
23,272,90,122,180,168,80,133,107
24,272,92,123,176,163,73,131,107
25,271,96,132,175,164,75,131,110
26,271,86,121,175,164,74,134,109
27,271,109,126,175,161,80,134,107
28,275,80,122,173,164,75,134,110
29,274,91,124,176,164,74,134,108
30,271,96,123,176,163,74,133,112
31,271,92,123,184,168,77,136,109
32,271,94,123,176,168,73,134,110
33,272,91,122,176,164,73,134,110
34,274,109,125,176,161,76,136,107
35,274,75,123,176,163,75,134,109
36,274,100,123,176,168,77,136,108
37,272,77,123,175,164,75,134,108
38,272,90,122,171,164,75,134,112
39,275,93,123,176,164,75,134,110
40,272,89,121,176,164,73,133,110
41,271,92,122,175,163,75,131,110
42,271,90,124,171,163,75,134,110
43,274,89,123,175,164,76,136,112
44,272,93,123,176,164,84,132,112
45,271,73,123,180,161,73,133,109
46,272,87,123,175,163,76,131,107
47,274,80,123,176,164,74,132,112
48,271,107,125,175,164,80,131,110
49,272,92,121,175,163,75,134,109
50,271,89,122,176,163,74,140,112
51,271,92,123,175,164,75,134,112
52,272,90,123,176,164,75,133,107
53,271,92,119,175,164,75,131,109
54,274,74,121,175,164,75,134,109
55,272,90,124,171,163,75,133,109
56,272,93,123,180,163,75,134,112
57,276,93,123,176,163,73,133,109
58,271,108,128,175,164,73,134,112
59,280,83,123,176,164,74,133,107
60,271,94,123,175,168,73,131,109
61,271,93,123,175,164,75,134,109
62,271,69,123,176,168,75,131,107
63,274,90,124,176,164,75,134,109
64,274,96,122,176,163,75,133,109
65,274,88,124,176,161,75,134,110
66,280,91,123,176,161,73,131,107
67,272,103,123,175,164,74,132,108
68,271,87,123,173,163,74,134,109
69,271,87,128,176,168,84,136,116
70,274,96,123,176,164,75,132,110
71,271,90,124,176,168,73,131,109
72,274,93,128,175,164,73,133,112
73,271,87,123,175,164,75,133,109
74,274,93,123,174,163,75,134,109
75,274,100,123,175,164,75,131,107
76,271,93,123,175,164,75,134,109
77,274,73,123,176,164,80,131,108
78,274,90,119,173,164,74,131,109
79,274,112,121,173,161,73,133,107
80,274,90,119,175,164,75,134,108
81,271,87,122,176,163,77,140,116
82,272,89,122,176,161,75,140,109
83,274,91,123,175,164,74,132,112
84,274,99,125,176,163,80,132,112
85,276,87,122,180,163,76,136,109
86,271,84,123,175,164,84,131,109
87,272,92,119,175,168,73,131,107
88,271,90,121,176,161,74,131,109
89,271,103,122,175,164,74,136,112
90,274,91,119,176,168,73,133,109
91,274,89,123,174,163,73,133,109
92,274,74,121,175,163,75,134,109
93,271,87,123,175,164,74,131,109
94,271,94,123,173,164,75,134,109
95,271,103,123,180,161,74,134,109
96,280,73,122,173,164,75,134,109
97,271,84,123,171,164,74,137,107
98,271,87,128,175,164,73,133,109
99,272,96,128,175,161,75,133,112
100,272,108,123,175,161,75,132,109
101,272,97,122,174,163,73,131,107
102,272,87,123,171,164,75,131,109
103,276,90,123,171,164,75,131,110
104,272,88,119,176,168,75,131,107
105,271,90,122,171,164,75,131,107
106,274,73,128,174,164,80,134,109
107,274,76,122,175,161,75,133,109
108,274,91,122,173,164,70,140,112
109,271,89,123,176,163,74,133,109
110,272,90,122,174,163,73,133,109
111,272,96,123,176,163,75,133,109
112,272,94,122,175,161,75,132,116
113,276,99,119,175,164,80,140,112
114,272,93,123,171,164,75,134,108
115,271,96,123,175,164,77,133,107
116,271,91,121,176,161,73,133,109
117,271,99,121,175,164,73,133,109
118,272,99,122,171,164,75,132,112
119,274,91,122,171,164,74,134,109
120,271,100,123,176,163,75,134,109
121,274,91,123,176,163,75,133,109
122,271,89,119,176,168,75,136,109
123,276,89,122,174,163,76,136,109
124,274,90,123,176,163,75,134,109
125,274,88,123,175,164,80,136,107
126,276,78,123,175,164,73,132,109
