,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,275,94,136,192,200,74,152,116
1,275,91,130,192,198,74,149,116
2,275,96,130,190,195,75,151,114
3,271,93,136,190,199,75,156,116
4,274,99,130,192,199,75,151,113
5,275,97,130,190,195,74,151,115
6,271,94,136,190,200,74,156,115
7,271,97,130,190,199,75,147,120
8,276,95,131,187,196,74,151,114
9,273,97,131,190,200,75,152,115
10,271,95,129,190,195,75,147,116
11,275,101,131,190,195,74,151,120
12,271,94,136,190,198,71,151,124
13,280,77,130,187,195,80,156,116
14,273,108,131,192,199,74,151,116
15,275,92,129,187,199,71,147,116
16,275,91,129,192,199,75,152,116
17,274,111,131,187,199,80,150,116
18,273,100,131,190,195,75,152,115
19,271,96,130,189,199,73,151,120
20,274,112,129,190,195,74,150,115
21,271,100,130,187,204,75,152,116
22,274,91,128,190,195,80,151,116
23,271,98,131,192,199,77,151,116
24,271,77,128,190,195,74,151,115
25,272,104,130,190,195,77,151,114
26,275,93,131,189,200,74,151,115
27,280,95,131,187,198,74,147,115
28,275,96,130,187,200,75,148,113
29,276,91,130,187,195,73,150,120
30,272,103,130,192,199,75,147,115
31,272,79,132,187,195,80,152,116
32,273,103,130,191,195,75,147,116
33,271,82,131,192,199,74,147,116
34,272,93,132,190,195,75,156,114
35,272,93,130,192,200,74,151,116
36,273,95,129,188,198,74,151,115
37,271,91,128,187,199,75,151,116
38,271,93,129,190,195,74,147,116
39,272,93,129,196,199,73,150,114
40,272,108,128,187,195,76,150,116
41,275,77,129,196,199,74,152,116
42,276,112,128,190,204,71,151,115
43,271,96,136,191,195,75,156,115
44,272,104,131,187,199,77,151,116
45,274,91,129,190,195,74,150,113
46,271,95,130,187,195,75,156,113
47,275,93,127,191,198,74,150,116
48,272,83,130,196,198,80,147,116
49,275,99,130,186,197,75,151,111
50,271,97,130,187,196,71,151,115
51,272,91,132,191,208,73,151,115
52,272,110,129,191,195,80,151,113
53,272,95,130,196,195,74,147,116
54,271,93,130,190,197,74,147,116
55,271,96,132,190,198,74,151,116
56,271,77,132,191,195,74,147,114
57,274,94,129,196,195,75,148,113
58,275,95,130,190,198,74,147,116
59,272,96,130,187,198,71,150,113
60,275,103,130,192,198,74,147,116
61,271,96,131,191,195,75,147,116
62,271,90,131,187,198,73,151,120
63,271,95,129,192,198,74,147,116
64,275,100,130,200,200,80,150,116
65,273,92,130,188,198,74,151,115
66,276,92,136,190,198,75,151,113
67,275,112,129,196,198,75,156,120
68,275,95,130,196,198,81,150,116
69,275,73,129,192,198,74,147,116
70,271,91,130,187,200,75,150,116
71,271,94,129,191,200,74,150,113
72,274,94,131,191,198,73,156,116
73,271,94,130,188,198,77,147,116
74,271,100,130,187,200,75,152,115
75,275,104,128,187,200,75,150,116
76,274,83,130,190,198,71,150,113
77,271,96,130,187,198,75,150,113
78,273,113,129,191,198,75,149,116
79,271,96,136,191,200,75,147,116
80,275,97,131,192,195,75,147,116
81,275,94,130,192,200,75,150,115
82,276,98,131,187,198,74,149,116
83,276,107,132,190,197,76,150,115
84,271,97,130,190,195,75,147,116
85,271,93,130,191,200,75,148,116
86,274,82,130,190,200,75,147,120
87,280,91,129,191,195,76,150,115
88,276,98,136,190,197,75,147,113
89,274,112,131,191,200,74,147,114
90,271,77,130,187,198,73,150,117
91,271,91,139,191,198,72,148,114
92,272,95,138,190,195,76,148,112
93,272,93,131,190,193,75,148,112
94,271,92,131,188,195,75,150,119
95,275,95,128,187,198,78,147,120
96,273,76,131,187,197,71,148,116
97,271,88,128,190,198,71,152,115
98,276,98,132,196,197,73,147,116
99,280,95,130,187,204,74,150,115
100,280,92,129,188,197,75,150,111
101,271,94,129,192,197,74,147,114
102,273,100,129,191,195,75,149,114
103,280,108,129,191,204,75,152,120
104,273,96,140,190,197,71,147,115
105,271,93,130,191,197,73,156,115
106,280,98,131,192,193,75,149,114
107,273,100,129,191,193,75,152,116
108,271,99,129,192,195,74,149,116
109,276,80,129,196,196,75,150,116
110,271,83,136,191,195,75,147,114
111,280,94,131,191,200,75,152,115
112,276,92,131,190,196,74,156,115
113,271,91,131,191,193,73,148,115
114,276,96,136,191,200,75,147,116
115,276,97,131,187,200,74,148,111
116,276,95,131,191,195,75,150,113
117,276,95,129,190,195,75,150,113
118,276,104,131,191,196,74,147,113
119,276,98,129,190,195,74,150,113
120,276,99,136,191,193,75,147,116
121,273,101,130,191,193,74,147,116
122,276,95,131,187,196,75,147,116
123,273,102,131,191,197,71,150,116
124,276,91,129,191,195,80,149,117
125,273,91,130,191,195,75,147,115
126,271,94,129,187,195,75,150,114
127,276,94,136,191,200,75,147,115
128,271,96,132,191,193,75,152,115
129,271,91,131,187,200,80,149,113
130,276,76,129,190,195,77,149,114
131,276,94,131,187,204,75,149,116
132,271,96,128,191,200,75,149,115
133,280,96,131,187,196,75,148,111
134,273,93,131,191,197,73,148,116
135,271,102,131,190,200,74,156,115
136,276,105,129,191,195,80,149,114
137,280,96,136,191,193,74,147,116
138,273,100,130,191,200,75,149,115
139,276,74,129,196,197,75,149,120
140,280,95,131,192,197,74,152,111
141,276,96,127,191,195,74,149,124
142,271,95,131,191,193,78,148,115
143,276,101,129,196,197,73,149,116
144,280,92,129,190,196,76,149,115
145,276,78,130,191,193,80,150,116
146,277,99,131,191,193,74,147,115
147,276,91,129,191,195,77,150,120
148,276,108,131,190,193,75,149,115
149,273,93,131,192,197,73,148,111
150,277,81,136,192,193,74,149,111
151,276,94,131,191,196,75,152,115
152,276,87,131,192,197,73,149,113
153,276,96,136,191,193,74,149,120
154,271,99,131,187,196,75,152,115
155,271,75,131,191,193,74,149,120
156,264,96,131,191,195,75,152,115
157,271,91,136,191,193,74,149,116
158,271,94,129,191,195,74,149,120
159,276,82,131,191,196,71,149,115
160,276,104,131,191,200,74,147,115
161,275,93,130,187,200,74,149,113
162,275,100,136,191,191,71,148,114
163,274,95,131,190,195,73,149,113
164,274,93,131,187,200,74,147,114
165,271,92,131,187,204,74,152,115
166,274,95,131,187,193,75,149,120
167,272,95,135,190,193,75,153,117
168,274,78,131,187,192,75,152,115
169,274,81,131,187,193,75,147,115
170,271,93,129,196,193,74,143,124
171,274,100,131,191,191,75,148,113
172,271,91,129,187,194,74,152,115
173,274,100,131,190,194,75,148,120
174,271,89,129,196,204,75,145,114
175,273,107,129,190,195,71,148,115
176,272,94,130,191,191,71,148,113
177,274,93,129,196,191,71,148,114
178,275,93,131,187,193,75,147,114
179,273,95,129,187,193,74,147,116
180,272,94,128,191,194,75,145,114
181,274,95,130,191,200,75,147,115
182,272,96,131,191,193,77,148,115
183,271,91,129,192,191,71,148,113
184,273,100,128,191,191,73,148,113
185,280,96,136,192,195,73,148,114
186,273,107,131,192,191,73,148,115
187,267,80,131,190,191,75,148,113
188,276,114,136,191,195,76,147,111
189,271,77,136,191,191,73,148,111
190,280,110,127,191,194,74,148,111
191,271,75,130,187,200,74,143,120
192,274,111,128,191,191,73,148,115
193,274,83,136,192,204,75,147,113
194,274,97,129,196,191,71,148,115
195,272,98,128,191,193,76,147,114
196,274,95,131,191,193,75,148,113
197,272,95,131,191,200,75,147,116
198,271,96,131,191,195,76,148,113
199,274,95,131,187,193,74,147,113
200,271,75,129,190,194,76,148,117
201,274,99,131,190,191,74,148,124
202,274,95,131,187,192,75,148,111
203,274,91,130,187,200,74,143,114
204,274,113,131,191,193,71,145,120
205,272,94,130,190,195,75,148,113
206,272,94,130,192,193,74,148,115
207,272,95,131,190,193,77,148,115
208,274,83,129,192,200,75,145,115
209,272,104,131,188,191,73,148,115
210,267,100,136,191,194,75,148,113
211,272,94,131,191,193,74,148,113
212,276,106,129,191,193,75,147,115
213,271,96,130,191,191,75,147,111
214,271,90,129,188,194,74,143,114
215,272,105,131,192,194,74,147,115
216,274,96,130,191,191,73,148,113
217,271,93,131,191,194,73,148,111
218,271,107,129,190,191,71,148,114
219,271,94,131,187,200,75,145,120
220,272,96,129,200,191,71,148,111
221,272,98,129,191,191,75,148,111
222,276,108,130,191,193,74,147,120
223,272,98,130,191,193,75,145,115
224,271,94,140,191,191,71,152,115
225,272,91,130,192,195,74,143,114
226,271,107,130,192,194,74,147,115
227,272,95,131,191,193,74,147,120
228,273,77,131,187,193,74,148,115
229,271,97,131,191,193,74,147,114
230,272,96,130,191,194,71,145,114
231,271,96,132,192,193,74,148,111
232,271,93,131,192,194,75,145,115
233,272,97,131,190,194,76,147,111
234,271,101,136,191,193,74,145,115
235,272,111,132,191,191,71,152,115
236,272,95,129,192,193,75,145,115
237,271,91,130,192,191,73,148,111
238,272,80,140,191,191,73,152,114
239,267,91,132,187,196,75,148,115
240,276,98,131,191,191,80,148,120
241,267,112,129,196,195,71,148,115
242,267,96,130,191,193,75,152,115
243,271,94,130,200,191,74,143,114
244,272,113,131,192,191,71,148,113
245,267,91,129,190,193,74,145,115
246,272,94,131,187,191,75,148,115
247,276,114,131,191,193,75,152,114
248,272,100,132,191,196,75,152,114
249,272,80,130,191,200,75,156,111
250,271,94,131,191,193,74,147,116
251,271,103,129,191,193,75,147,115
252,272,91,129,191,193,75,145,115
253,271,75,132,191,193,75,156,114
254,271,95,130,192,191,71,146,111
255,272,95,130,200,191,73,148,115
256,271,95,129,190,193,74,143,115
257,272,75,131,187,191,73,148,116
258,272,96,127,191,192,74,146,113
259,272,101,130,191,194,75,145,115
260,271,95,131,191,193,75,148,115
261,271,94,131,192,191,82,143,115
262,272,94,131,189,194,71,147,113
263,267,96,130,191,193,75,152,111
264,271,109,136,191,194,74,148,111
265,272,112,131,191,193,74,148,111
266,271,93,129,190,193,74,143,114
267,271,79,129,191,193,80,148,117
268,272,98,132,191,193,75,147,115
269,271,75,130,200,196,73,145,115
270,272,94,131,192,191,71,147,115
271,267,98,130,191,200,75,152,111
272,272,98,131,192,191,75,147,114
273,274,108,130,187,194,73,147,120
274,271,111,131,200,191,80,147,112
275,273,101,130,191,200,73,148,111
276,274,95,131,192,191,76,148,116
277,273,101,132,191,200,71,146,113
278,267,99,130,191,200,75,148,115
279,271,78,129,190,193,76,148,114
280,272,96,127,187,191,73,147,113
281,271,76,129,192,191,73,148,113
282,271,91,129,193,191,71,147,113
283,273,78,130,196,194,74,146,111
284,271,94,131,187,196,75,152,111
285,271,91,129,191,192,75,152,111
286,272,82,131,187,191,73,147,116
287,271,91,136,191,193,75,146,111
288,271,93,131,191,200,78,148,112
289,278,96,131,197,196,75,146,112
290,267,94,128,192,191,75,147,124
291,271,88,129,191,191,81,153,118
292,272,97,128,192,192,74,147,115
293,272,92,131,198,195,72,144,112
294,272,95,128,192,193,75,147,115
295,271,84,129,191,191,75,147,115
296,272,111,136,192,192,74,147,120
297,271,88,130,192,191,72,150,112
298,267,103,128,192,191,75,151,115
299,272,95,132,190,192,72,145,113
300,271,74,129,191,193,75,143,114
301,272,98,131,187,191,74,147,116
302,272,96,131,192,194,73,146,111
303,271,97,136,191,192,75,156,115
304,271,93,129,190,193,74,145,115
305,273,93,130,192,191,73,147,114
306,271,94,130,191,192,75,145,115
307,280,87,131,192,191,73,147,120
308,272,96,129,192,191,84,147,113
309,272,95,129,187,192,74,143,111
310,273,110,127,191,196,75,145,114
311,272,97,130,187,191,71,147,115
312,267,91,131,187,192,75,152,115
313,267,73,130,191,200,74,156,114
314,272,91,131,190,193,75,145,115
315,270,96,127,190,194,74,146,113
316,267,108,129,190,191,75,147,115
317,272,93,129,191,192,74,143,115
318,272,79,131,189,200,75,143,115
319,267,97,130,191,196,75,146,111
320,272,94,131,191,196,75,148,114
321,272,99,127,187,194,74,146,111
322,272,92,128,191,193,80,147,120
323,272,98,131,187,191,73,147,115
324,272,94,129,191,191,73,145,114
325,273,95,129,192,191,77,147,124
326,271,91,130,190,191,75,143,113
327,267,93,130,187,193,75,152,111
328,270,112,127,191,193,75,145,113
329,267,83,129,192,192,74,145,116
330,271,93,131,191,193,75,145,115
331,276,107,131,191,192,71,145,114
332,270,92,129,188,191,73,147,114
333,270,95,132,191,192,75,145,115
334,268,94,136,191,191,73,152,115
335,271,96,127,191,196,75,147,115
336,267,97,129,191,192,74,143,115
337,272,91,129,191,192,75,145,115
338,267,93,130,191,192,74,143,115
339,271,100,131,192,191,80,143,115
340,271,81,129,190,192,81,147,113
341,272,95,130,191,196,74,144,111
342,272,95,131,191,192,74,147,111
343,267,87,136,191,196,74,145,115
344,272,84,129,192,191,80,147,114
345,272,112,132,191,193,75,148,114
