,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,240,82,118,173,158,80,136,105
1,235,77,117,173,158,74,133,106
2,240,89,120,173,164,71,134,106
3,238,105,119,171,159,71,133,106
4,239,96,119,171,159,72,131,103
5,235,100,118,173,158,71,133,103
6,239,76,119,173,159,76,133,106
7,238,91,118,171,155,71,131,103
8,239,93,118,173,160,71,133,104
9,239,106,119,173,158,80,133,105
10,235,100,119,173,158,80,136,105
11,239,96,118,173,159,73,134,106
12,240,82,117,173,159,73,133,106
13,240,92,117,173,159,72,131,103
14,238,93,117,173,160,77,131,103
15,239,101,120,172,157,71,133,106
16,239,96,125,173,160,73,134,105
17,238,90,119,172,160,73,131,103
18,235,94,117,171,159,73,134,106
19,236,91,120,171,159,73,133,106
20,235,99,119,172,160,71,133,106
21,239,87,119,172,160,73,131,103
22,240,93,117,173,159,72,136,103
23,240,106,121,171,159,73,133,106
24,239,90,118,173,159,73,132,106
25,235,92,119,176,159,76,133,106
26,239,112,119,176,159,71,133,106
27,238,90,117,173,159,72,131,103
28,239,75,119,172,157,73,133,106
29,239,93,119,172,160,71,133,106
30,238,97,119,172,160,71,131,105
31,238,75,121,171,159,73,133,106
32,235,92,119,173,158,76,136,103
33,240,93,118,171,159,73,136,106
34,240,80,117,173,159,73,133,106
35,240,91,120,171,160,73,131,106
36,235,96,117,172,160,71,133,106
37,238,99,119,172,160,74,131,103
38,239,74,118,169,158,73,133,106
39,241,92,119,180,160,74,136,105
40,248,92,117,173,159,72,131,103
41,245,90,124,171,159,72,132,112
42,244,103,124,171,158,73,131,106
43,244,91,119,173,155,80,133,108
44,239,91,119,171,158,71,133,106
45,241,93,119,172,157,74,131,106
46,241,96,119,173,155,76,133,106
47,241,104,118,171,159,73,133,106
48,248,93,124,173,160,71,133,106
49,244,99,119,173,159,73,133,105
50,244,77,119,169,158,71,133,106
51,244,103,119,176,160,74,131,103
52,244,75,119,176,155,73,133,106
53,248,90,119,176,160,73,133,105
54,244,87,121,171,157,73,133,106
55,241,87,124,171,155,71,131,103
56,239,96,119,171,159,76,131,103
57,245,92,119,173,160,76,131,103
58,243,89,121,173,156,73,131,108
59,241,94,117,173,159,72,131,103
60,244,93,119,169,159,72,131,106
61,244,87,118,171,155,71,134,106
62,244,92,119,169,159,73,133,103
63,244,96,118,172,164,71,131,103
64,238,104,119,172,160,71,133,106
65,240,77,117,172,159,73,133,106
66,235,108,119,172,157,73,136,106
67,238,89,118,169,159,73,134,107
68,240,95,120,171,155,71,131,105
69,239,91,119,172,164,76,136,108
70,239,96,119,173,159,72,136,105
71,239,93,120,171,158,73,133,106
72,235,81,119,173,158,71,133,108
73,235,87,119,169,155,73,133,106
74,238,108,120,171,158,73,134,106
75,235,93,119,171,158,73,133,106
76,239,92,119,173,160,72,131,103
77,238,91,119,172,158,76,136,103
78,238,79,128,171,159,73,131,106
79,244,91,120,172,159,72,136,105
80,235,97,119,173,158,73,133,108
81,238,89,119,171,159,72,136,105
82,238,104,119,176,160,71,133,106
83,239,90,119,171,159,73,134,105
84,235,82,120,173,160,71,133,106
85,240,100,119,169,159,76,131,106
86,235,90,117,172,158,76,131,103
87,238,78,119,171,159,73,136,105
88,238,91,120,169,158,73,131,106
89,240,93,118,173,158,77,131,103
90,240,87,117,172,158,73,131,106
91,238,87,120,167,159,73,133,106
92,240,104,124,171,158,71,131,105
93,238,92,117,173,156,71,133,106
94,235,91,119,176,155,73,132,106
95,235,89,118,171,159,73,132,104
96,235,108,119,172,160,71,131,103
97,235,96,119,173,160,71,131,103
98,231,77,117,173,158,78,140,106
99,238,96,119,176,155,73,133,106
100,240,107,117,171,159,73,133,106
101,238,91,118,176,155,71,131,103
102,238,74,117,171,159,72,136,103
103,238,87,118,169,159,73,132,105
104,231,88,119,171,156,70,133,103
105,235,88,122,173,156,73,132,105
106,233,92,116,170,156,78,133,104
107,240,88,123,171,156,80,131,106
108,236,88,119,174,159,72,133,104
