,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
174,245,87,117,177,173,73,139,98
175,245,94,117,180,172,73,139,98
176,246,80,119,180,171,73,140,98
177,244,100,120,180,176,73,140,98
178,245,91,118,177,173,74,137,98
179,248,91,115,180,176,73,144,97
180,241,94,118,180,176,71,135,98
181,244,89,117,180,172,76,137,97
182,245,107,119,180,176,71,135,98
183,243,90,115,180,176,73,138,100
184,241,92,118,177,174,72,137,98
185,244,87,119,180,171,71,138,98
186,243,92,118,180,174,73,138,98
187,246,90,118,177,171,73,138,98
188,245,87,117,175,173,76,135,98
189,243,93,119,180,176,73,135,98
190,252,87,118,180,176,71,138,97
191,246,92,120,180,171,73,139,98
192,248,90,119,180,176,71,138,97
193,241,93,118,180,173,77,137,98
194,241,92,119,180,171,73,140,97
195,243,93,124,177,173,73,139,100
196,241,91,119,180,172,77,137,97
197,244,89,117,182,171,74,137,100
198,243,88,116,179,172,73,136,98
199,247,93,118,176,173,70,136,107
200,243,101,118,176,173,70,138,97
201,239,90,119,182,173,73,139,100
202,239,92,119,177,174,72,135,97
203,244,75,119,180,172,73,135,98
204,241,108,117,180,171,71,138,98
205,244,89,120,177,174,73,140,97
206,245,96,120,175,173,77,135,98
207,244,91,117,175,174,72,137,97
208,245,89,118,188,171,73,139,98
209,248,101,115,184,171,73,137,98
210,241,87,124,177,173,80,135,98
211,241,85,118,184,173,72,137,98
212,248,87,117,177,174,73,138,98
213,241,76,117,179,173,73,140,98
214,245,95,119,180,174,80,137,97
215,245,96,120,180,172,76,137,97
216,241,79,119,180,171,71,138,99
217,248,93,115,177,171,73,139,98
218,239,99,119,180,171,71,139,98
219,239,80,117,184,173,73,137,98
220,245,92,119,180,172,71,138,100
221,245,94,118,188,171,73,138,100
222,248,93,117,180,171,80,135,98
223,241,96,117,180,173,76,140,97
224,241,93,118,180,173,72,135,99
225,241,91,119,180,171,73,139,100
226,241,92,115,180,171,73,137,98
227,248,89,120,179,171,73,139,98
228,241,104,117,180,171,73,135,98
229,241,90,118,179,174,72,137,98
230,241,78,119,180,176,75,139,104
231,248,90,118,180,171,73,137,98
232,244,99,118,175,173,73,138,100
233,248,92,118,179,180,72,139,98
234,245,90,119,180,176,73,136,98
235,245,87,120,177,173,73,137,98
236,239,90,117,177,171,73,138,104
237,245,106,119,180,173,71,139,98
238,239,91,115,177,173,73,138,98
239,245,88,118,177,173,73,139,98
240,245,91,120,177,173,72,138,97
241,241,89,115,180,171,76,138,98
242,245,100,118,180,171,73,138,97
243,246,89,117,180,176,71,139,97
244,239,93,119,188,171,73,138,97
245,245,92,119,180,176,71,138,98
246,248,75,119,180,172,76,137,97
247,241,87,116,175,174,72,137,95
248,239,108,118,177,171,73,139,98
249,241,106,115,180,174,76,135,98
250,245,96,119,180,176,73,139,98
251,248,92,115,179,174,73,138,98
252,245,89,119,180,171,71,139,98
253,245,104,117,175,174,72,137,95
254,241,87,118,180,176,73,139,98
255,239,89,119,180,172,80,140,100
256,248,77,119,180,172,76,140,100
257,239,96,119,180,174,71,139,98
258,244,96,115,180,173,73,138,98
259,246,91,118,184,171,73,139,98
260,241,87,119,184,171,73,139,98
261,244,101,119,180,172,71,138,98
262,241,87,119,177,173,73,138,99
263,241,75,119,184,171,73,138,100
264,244,80,119,180,172,76,137,97
265,245,90,118,180,176,72,138,98
266,245,106,118,180,173,72,135,98
267,241,105,115,179,173,78,137,97
268,241,87,118,177,174,73,144,97
269,244,94,118,180,171,72,138,97
270,245,91,117,175,174,73,140,104
271,241,75,118,175,171,71,138,98
272,241,89,118,177,173,73,138,97
273,244,89,117,175,173,72,135,98
274,244,88,117,180,180,73,138,98
275,244,91,118,177,173,73,138,98
276,244,96,119,188,171,73,139,98
277,245,105,117,179,174,80,139,97
278,244,91,119,180,172,71,138,99
279,244,108,118,180,176,73,139,97
280,241,91,118,175,174,72,139,98
281,241,91,119,180,173,72,138,100
282,244,92,124,177,171,71,139,101
283,239,87,116,177,174,73,138,104
284,245,90,124,175,173,73,144,97
285,244,91,115,180,173,72,139,98
286,248,94,117,180,172,73,139,101
287,243,87,118,177,173,73,136,97
288,248,92,120,177,171,73,139,98
289,244,94,124,177,171,71,137,101
290,239,91,118,179,171,73,139,98
291,239,93,120,175,174,73,140,97
292,244,91,120,179,174,73,138,97
293,243,91,118,180,174,72,139,100
294,248,93,119,180,173,73,135,95
295,245,91,121,177,171,71,138,98
296,244,92,115,180,174,80,135,98
297,239,89,118,177,173,73,137,97
298,241,93,118,180,176,71,136,97
299,239,97,119,184,174,76,135,98
300,241,98,117,180,174,72,138,98
301,245,95,118,177,174,73,138,98
302,245,93,119,184,171,73,137,98
303,244,90,115,180,172,74,139,98
304,239,96,118,180,173,72,138,101
305,245,75,124,177,173,73,138,97
306,245,90,117,180,174,80,137,95
307,241,96,118,180,172,80,140,97
308,245,87,118,180,172,76,140,100
309,239,87,119,175,171,71,138,99
310,239,87,119,180,180,77,137,98
311,241,89,119,180,176,71,135,98
312,241,88,119,180,176,73,138,98
313,245,91,118,180,174,72,140,100
314,248,92,118,180,180,71,138,98
315,245,99,119,184,171,71,139,98
316,248,87,119,179,173,73,139,98
317,245,83,119,180,171,73,139,104
318,245,91,118,179,171,73,136,98
319,245,88,119,176,173,73,137,107
320,241,77,116,179,174,71,147,96
321,245,95,116,179,174,72,139,96
322,240,89,116,180,173,70,139,97
323,244,85,116,180,169,73,136,98
324,244,101,118,179,173,71,144,96
325,249,88,124,176,173,72,138,96
326,243,90,117,184,169,79,136,98
327,244,103,121,179,178,72,141,96
328,245,89,119,178,173,72,139,102
329,243,93,117,182,171,82,136,98
330,240,105,118,179,173,73,143,98
331,251,86,124,176,173,70,136,98
332,241,89,116,179,172,71,144,96
333,243,101,119,179,171,75,136,97
334,239,87,121,177,174,71,143,96
335,240,87,118,179,175,71,139,96
