,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,276,95,132,200,221,75,156,123
1,275,87,131,200,220,75,155,127
2,279,90,136,198,220,74,156,128
3,278,95,129,198,220,76,155,127
4,279,98,136,198,217,74,155,128
5,275,89,131,200,221,75,156,127
6,275,96,136,198,224,75,153,124
7,285,95,129,198,224,75,156,136
8,287,93,131,195,215,77,156,126
9,282,97,130,195,220,75,155,123
10,275,96,131,195,221,75,155,126
11,278,95,131,198,217,76,153,127
12,278,95,130,195,219,75,156,126
13,275,77,129,198,219,75,155,123
14,279,115,131,198,217,74,151,125
15,278,94,131,198,221,75,160,128
16,275,97,131,198,219,74,151,127
17,279,91,128,198,221,84,155,123
18,279,91,129,198,220,75,155,127
19,280,93,131,198,217,74,156,127
20,271,98,129,198,220,77,153,127
21,275,100,131,198,220,75,151,127
22,279,98,130,195,221,76,153,126
23,280,104,131,198,224,75,151,123
24,282,91,130,195,220,76,156,128
25,288,104,131,198,217,74,155,128
26,282,101,130,195,215,75,155,127
27,279,93,136,195,215,76,160,123
28,280,100,129,198,220,74,156,126
29,284,71,130,200,215,75,155,126
30,286,116,132,195,219,74,155,123
31,279,89,130,195,220,76,156,125
32,280,97,129,198,220,76,155,127
33,273,99,128,196,221,75,155,127
34,279,98,129,207,216,75,155,125
35,279,116,130,202,215,74,155,124
36,276,119,131,199,219,77,155,124
37,275,117,131,198,215,75,155,127
38,279,103,130,202,216,75,152,126
39,273,101,129,196,225,75,155,125
40,273,93,133,195,219,77,155,129
41,279,99,129,195,216,78,155,124
42,279,100,131,206,219,76,155,129
43,279,94,132,195,219,74,155,129
44,283,104,131,193,221,75,154,126
45,278,95,128,195,220,75,159,124
46,275,104,137,195,218,79,155,126
47,282,97,136,193,218,75,155,125
48,275,92,131,196,219,74,155,127
49,277,95,131,195,220,76,154,127
50,273,92,135,195,217,79,153,127
51,282,94,138,196,220,75,152,126
52,283,93,137,195,220,73,155,124
53,283,95,131,198,224,75,152,127
54,279,92,129,195,218,75,157,124
55,273,95,129,202,216,75,155,125
56,275,95,131,201,220,74,155,125
57,283,118,131,198,223,75,156,126
58,281,95,131,197,220,74,161,125
59,283,114,130,202,215,74,155,126
60,279,120,130,197,228,74,160,125
61,275,114,137,198,216,76,155,124
62,279,93,131,195,218,75,155,125
63,281,94,131,198,224,74,159,124
64,275,93,128,206,218,75,154,126
65,272,92,131,192,222,75,156,125
66,279,89,129,197,223,76,152,131
67,273,93,130,198,216,75,152,126
68,276,92,133,196,228,75,153,124
69,288,92,136,193,220,73,155,124
70,287,98,132,206,221,77,155,125
71,284,111,128,198,216,75,155,126
72,288,99,130,196,216,80,153,124
73,287,92,131,201,218,75,155,125
74,288,99,131,198,215,75,155,128
75,292,77,128,198,216,75,156,123
76,287,92,131,196,216,75,164,125
77,275,93,131,193,219,83,156,135
78,279,90,128,203,219,73,154,126
79,275,95,129,196,220,79,161,126
80,275,102,131,198,219,75,155,126
81,278,93,134,195,221,73,155,124
82,279,114,140,195,224,75,153,132
83,278,113,130,195,220,75,155,127
84,279,95,129,200,218,75,154,126
85,276,95,128,197,223,74,155,124
86,276,119,128,197,219,75,159,124
87,276,101,128,202,219,75,153,131
88,279,102,131,193,219,84,154,124
89,279,92,129,196,221,75,159,126
90,275,92,131,201,222,77,152,125
91,280,71,129,195,223,75,152,126
92,280,90,128,198,215,74,158,126
93,280,99,128,197,218,75,155,125
94,280,93,134,195,221,74,153,130
95,275,122,131,199,219,75,155,125
96,279,111,131,198,226,76,153,131
97,279,101,131,193,218,76,155,126
98,275,91,128,198,216,75,155,127
99,273,68,130,201,219,74,155,125
100,278,93,131,193,223,75,155,126
101,278,97,136,195,219,73,157,123
102,279,119,131,196,219,74,155,124
103,280,107,131,193,222,75,152,126
104,280,90,131,197,216,85,155,127
105,278,95,131,196,220,75,152,126
106,275,69,131,199,223,75,157,126
107,279,97,131,196,220,75,156,126
108,276,95,128,197,219,75,153,124
109,280,107,130,195,219,75,152,126
110,277,91,130,197,217,75,155,125
111,277,87,136,197,224,74,155,126
112,271,92,132,195,219,76,156,125
113,280,95,131,197,218,75,155,126
114,276,93,131,195,219,80,153,125
115,277,117,131,197,217,74,155,126
116,275,110,130,195,218,74,156,126
117,276,102,130,197,224,75,160,125
118,273,96,129,196,217,75,155,128
119,275,71,131,196,215,75,155,128
120,277,95,131,200,215,76,155,126
121,273,104,131,200,215,76,154,125
122,271,73,128,193,218,80,153,123
123,276,94,132,197,216,74,155,132
124,277,95,129,197,219,75,154,126
125,273,96,131,195,219,75,151,123
126,271,119,132,195,219,75,155,128
127,277,97,131,197,224,75,154,125
128,280,96,130,195,219,74,154,125
129,271,118,129,197,218,76,154,126
130,273,94,129,197,218,75,153,123
131,275,74,131,200,218,75,154,125
132,277,100,127,195,220,74,151,125
133,277,93,130,200,215,75,153,126
134,273,107,130,193,224,75,154,123
135,277,93,130,197,215,80,154,125
136,277,90,130,197,219,75,154,123
137,277,94,128,200,219,77,151,124
138,271,109,130,200,218,80,151,125
139,284,91,132,196,218,75,151,126
140,276,91,128,195,215,76,153,123
141,283,119,129,193,218,76,160,125
142,276,95,129,196,218,80,154,124
143,276,97,130,195,215,75,153,124
144,273,73,127,196,216,75,154,128
145,280,95,129,196,224,75,152,123
146,273,100,132,195,216,75,153,128
147,276,90,129,196,220,74,154,124
148,276,99,130,196,215,76,154,125
149,271,120,130,196,216,75,154,128
150,273,93,129,196,218,74,153,125
151,273,90,129,196,218,75,152,125
152,277,118,129,196,215,75,153,125
153,276,93,129,196,218,77,154,124
154,273,93,127,193,218,75,154,125
155,276,116,131,193,216,76,154,125
156,277,71,131,195,216,75,156,123
157,277,95,127,196,224,76,151,125
158,277,91,129,195,215,75,154,125
159,276,95,130,193,217,76,151,125
160,276,95,129,196,216,74,154,125
161,280,98,130,196,218,80,151,125
162,276,108,129,191,215,75,154,125
163,283,69,130,193,215,75,153,123
164,277,118,128,196,218,77,153,125
165,277,91,132,195,217,74,151,125
166,280,104,130,193,215,75,152,128
167,271,92,129,194,217,74,154,125
168,277,95,129,191,215,75,151,125
169,277,93,129,194,216,74,154,124
170,280,96,127,194,213,75,151,124
171,277,92,130,200,224,75,153,123
172,271,91,130,193,217,75,151,124
173,273,91,129,200,216,80,152,125
174,277,91,128,193,215,76,152,123
175,273,94,129,195,215,75,156,125
176,276,95,129,191,216,75,151,123
177,276,90,132,194,217,80,151,124
178,271,93,132,191,215,75,153,123
179,273,91,132,195,215,76,152,128
180,276,95,130,193,216,75,153,124
181,271,71,128,193,215,75,156,123
182,276,105,128,195,217,75,152,125
183,271,93,129,195,216,75,151,125
184,271,90,130,194,215,80,153,128
185,271,100,136,195,216,75,153,128
186,271,92,128,193,217,75,153,123
187,280,110,129,191,224,76,151,125
188,272,98,129,193,220,76,152,124
189,276,94,129,194,216,75,151,124
190,276,95,129,194,217,74,151,125
191,273,75,132,191,217,77,151,124
192,279,111,129,193,217,74,151,124
193,288,100,127,193,213,76,152,123
194,286,98,129,191,216,74,153,124
195,282,97,127,193,216,75,153,123
196,280,76,128,194,215,75,153,123
197,280,116,129,195,217,74,156,123
198,276,97,128,192,217,73,153,123
199,279,89,127,192,216,73,153,121
200,281,99,128,197,213,75,151,125
201,284,95,129,192,213,75,153,124
202,280,82,132,193,215,74,152,124
203,273,100,129,191,216,76,151,125
204,278,95,128,195,216,74,153,123
205,271,95,128,193,211,75,153,123
206,273,96,129,194,216,77,151,124
207,273,116,128,191,216,75,153,128
208,276,94,128,191,216,80,151,124
209,271,96,127,193,216,75,153,124
210,276,103,136,193,213,75,152,123
211,271,97,127,194,216,75,152,123
212,273,92,129,193,211,76,156,123
213,276,87,132,191,215,75,153,124
214,276,94,128,194,215,75,151,124
215,276,115,128,193,224,76,152,125
216,276,93,128,194,215,74,151,123
217,273,77,129,194,216,76,151,124
218,273,96,127,192,224,75,153,124
