,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,269,81,131,199,220,76,160,113
1,270,90,131,200,217,75,159,115
2,270,100,140,199,220,75,157,115
3,270,94,136,199,221,76,160,113
4,267,85,131,200,220,77,159,114
5,270,98,132,200,219,76,160,114
6,265,106,131,201,224,74,159,115
7,264,94,134,199,219,76,159,112
8,268,106,129,202,221,75,161,115
9,268,96,132,199,216,78,159,112
10,264,91,132,199,221,75,161,112
11,268,96,131,200,221,74,159,116
12,270,101,133,199,221,75,160,115
13,270,93,130,199,220,75,159,115
14,268,94,132,201,217,78,159,114
15,276,94,128,201,220,76,160,122
16,265,100,132,204,224,75,156,117
17,269,101,133,199,229,74,159,113
18,277,95,129,199,221,74,159,124
19,271,94,139,197,221,74,159,115
20,265,83,132,204,220,76,160,116
21,268,102,136,203,221,75,162,115
22,264,94,131,205,222,74,156,113
23,268,103,130,199,220,75,158,115
24,269,95,129,201,216,76,160,118
25,270,96,134,199,216,78,159,112
26,271,93,132,200,221,74,159,115
27,270,80,134,203,216,74,160,113
28,265,93,128,201,220,76,160,113
29,268,92,136,199,220,75,161,114
30,264,100,129,199,220,76,160,119
31,264,102,140,199,224,75,159,112
32,267,95,131,209,216,75,160,114
33,267,95,138,199,220,76,160,116
34,267,96,133,199,224,75,169,112
35,268,92,131,199,220,76,156,115
36,270,78,129,199,219,76,164,115
37,267,87,132,199,222,74,168,112
38,269,92,136,199,220,76,159,115
39,270,96,131,202,217,76,156,115
40,267,97,133,199,225,74,159,112
41,265,110,131,200,222,75,159,115
42,268,103,131,201,219,75,159,115
43,264,106,133,206,217,81,156,115
44,269,109,131,209,219,76,159,113
45,263,97,132,199,221,75,163,113
46,263,97,134,199,216,83,160,115
47,270,94,134,200,221,73,159,114
48,263,107,129,202,220,75,160,115
49,268,100,135,199,222,75,163,114
50,271,96,132,202,221,76,168,116
51,270,90,131,202,221,76,160,116
52,272,113,132,201,221,76,159,116
53,270,98,133,200,219,75,159,115
54,267,94,132,202,217,75,159,116
55,270,95,132,208,219,75,159,114
56,272,80,133,202,224,75,159,117
57,270,93,131,202,220,76,159,116
58,267,98,132,202,222,75,159,115
59,270,97,133,202,228,77,160,115
60,271,95,131,199,222,77,160,115
61,267,107,131,202,224,75,159,116
62,271,95,131,202,219,75,159,114
63,267,97,131,202,220,75,160,115
64,272,95,131,202,222,76,159,115
65,267,97,132,204,224,77,160,115
66,271,95,131,202,219,76,160,115
67,271,100,132,202,222,75,161,115
68,272,90,136,202,219,76,164,115
69,271,91,131,202,222,76,164,117
70,276,107,132,199,222,75,160,115
71,272,97,136,199,222,76,159,116
72,270,79,131,202,219,75,160,115
73,270,100,132,200,219,76,160,120
74,267,114,132,199,219,80,159,115
75,272,97,133,199,222,76,159,116
76,270,100,131,202,224,75,159,116
77,272,82,133,199,224,75,160,115
78,272,94,140,199,222,76,161,116
79,270,101,131,202,219,75,159,113
80,271,95,131,202,222,76,160,120
81,271,97,131,200,222,75,160,120
82,271,82,132,202,224,75,159,116
83,271,96,132,200,219,75,159,116
84,272,93,132,199,219,75,160,116
85,271,114,131,202,224,76,160,116
86,270,95,131,199,222,76,160,115
87,272,101,140,202,224,76,159,116
