,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,194,89,128,187,184,71,139,111
1,193,87,124,192,183,73,142,113
2,193,73,125,191,186,72,148,113
3,191,89,125,190,185,71,142,113
4,191,92,125,192,183,72,139,111
5,193,104,125,190,185,72,139,111
6,191,97,123,187,185,75,141,111
7,191,90,125,192,183,71,141,113
8,194,94,125,191,184,71,141,112
9,190,92,128,191,184,74,141,114
10,200,89,123,191,192,71,142,113
11,193,94,123,191,186,73,140,115
12,193,89,125,187,185,72,144,112
13,193,94,123,191,186,74,142,114
14,191,103,123,191,183,74,144,111
15,192,91,128,192,183,71,141,114
16,193,89,125,189,185,80,142,111
17,200,92,123,191,185,72,144,113
18,191,100,124,191,186,73,142,111
19,192,73,124,192,183,73,142,112
20,192,89,125,196,183,71,142,114
21,191,93,128,191,183,74,142,114
22,193,84,124,187,184,74,141,111
23,193,92,123,190,183,74,142,120
24,194,89,125,190,185,71,139,111
25,193,87,123,187,184,74,139,114
26,194,95,128,191,185,72,141,111
27,194,75,125,187,186,73,144,111
28,200,91,128,187,183,73,139,113
29,191,91,125,187,185,72,139,111
30,191,96,125,190,188,73,139,111
31,191,92,128,187,183,73,142,112
32,194,84,123,191,185,72,144,111
33,193,94,123,191,185,74,140,112
34,193,76,124,187,185,74,142,112
35,193,104,123,196,186,72,142,120
36,196,78,125,187,186,75,142,113
37,200,106,125,190,185,71,141,113
38,193,75,124,192,188,77,142,111
39,192,103,124,187,183,73,142,112
40,191,76,123,191,184,73,139,111
41,192,106,125,191,185,71,142,113
42,192,74,124,196,184,73,139,111
43,192,106,125,192,183,71,142,114
44,191,75,124,187,185,73,148,112
45,191,104,128,190,183,72,139,112
46,191,93,123,192,185,73,142,116
47,192,87,132,191,186,72,144,112
48,193,91,123,191,184,73,140,111
49,193,90,125,192,183,73,139,111
50,193,91,125,191,184,76,141,111
51,191,77,123,191,185,72,144,113
52,193,104,125,189,184,71,141,113
53,193,89,123,191,188,73,141,113
54,193,87,124,187,183,73,142,116
55,193,96,125,196,183,73,140,116
56,191,76,123,191,185,72,144,111
57,194,100,123,191,185,74,141,114
58,194,92,123,192,185,71,148,111
59,191,86,125,190,184,72,144,112
60,200,102,124,187,185,72,148,115
61,194,96,124,190,184,73,141,116
62,194,96,125,192,183,73,144,111
63,193,105,123,190,185,72,139,111
64,191,89,128,187,185,71,142,120
65,200,89,123,190,185,73,142,116
66,194,104,125,192,185,76,142,112
67,193,87,124,187,185,76,139,111
68,196,84,124,191,192,76,139,111
69,200,91,132,187,183,73,142,113
70,195,92,123,191,188,71,141,112
71,195,92,128,187,183,80,139,111
72,195,75,124,191,184,71,144,112
73,193,85,123,192,185,71,140,111
74,193,108,125,190,184,76,139,111
75,196,91,125,187,183,74,142,112
76,191,71,124,187,188,73,144,113
77,193,96,125,192,183,73,144,112
78,193,108,125,190,192,73,139,111
79,193,91,122,193,183,74,139,117
80,197,87,122,191,184,73,140,111
81,202,89,129,191,184,73,139,117
82,201,89,125,190,183,72,141,113
83,192,87,126,190,184,73,140,118
84,192,72,125,191,181,72,140,111
85,199,75,125,191,184,73,137,119
86,196,76,123,191,186,73,140,112
87,191,83,125,190,183,72,142,113
88,191,82,127,191,183,72,142,113
89,191,96,125,186,191,73,140,111
90,195,88,130,187,185,78,139,114
91,191,88,124,190,183,77,139,118
92,195,91,125,187,186,73,144,111
93,192,90,124,186,185,72,142,110
94,196,91,123,196,185,73,139,111
95,195,92,123,191,184,77,139,111
96,193,89,124,187,183,73,141,112
97,193,108,124,187,185,72,139,111
98,192,93,125,187,185,77,139,112
99,193,87,123,190,181,73,144,112
100,193,75,123,191,188,74,144,112
101,191,90,123,192,185,73,144,113
102,191,96,124,190,184,71,141,113
103,193,104,125,187,185,76,139,111
104,193,96,124,187,185,76,139,111
105,191,93,124,189,184,71,142,112
106,192,87,124,191,183,76,141,111
107,193,87,124,190,185,73,144,113
108,196,73,124,192,183,73,141,111
109,191,91,125,192,183,73,139,112
110,200,90,128,190,185,73,141,113
111,196,88,125,187,185,72,144,113
112,193,91,123,190,185,73,142,112
113,191,97,125,187,185,80,139,111
114,191,103,123,191,184,76,139,113
115,191,103,125,190,188,73,139,111
116,192,95,123,191,184,73,139,111
117,191,96,123,191,184,73,140,112
118,191,97,125,191,192,73,139,113
119,193,91,123,190,183,73,144,112
120,191,87,124,192,183,73,141,112
121,190,89,124,192,183,74,139,111
122,191,91,125,200,183,74,140,112
123,192,96,125,191,188,71,139,111
124,187,87,124,190,184,71,142,112
125,190,87,124,187,183,73,141,112
126,190,102,124,190,184,72,141,112
127,187,108,124,191,184,71,139,111
128,191,109,123,191,185,80,144,112
129,190,103,123,190,184,71,140,113
130,187,97,125,188,183,73,142,112
131,194,92,128,187,181,73,142,113
132,192,89,124,192,181,73,142,113
133,191,90,123,190,185,82,139,111
134,191,90,124,190,185,71,141,111
135,194,75,128,191,188,73,141,113
136,191,87,132,187,183,74,144,113
137,191,96,123,190,185,71,142,113
138,191,89,125,190,188,71,139,111
139,196,105,123,190,185,72,148,113
140,191,95,128,187,185,73,140,112
141,191,93,123,192,185,73,142,112
142,192,90,123,190,188,71,142,112
143,192,76,124,187,184,74,141,112
144,191,87,124,196,183,73,141,112
145,192,96,124,190,188,73,139,111
146,193,105,124,190,183,73,140,111
147,191,93,124,192,179,73,142,113
148,194,87,123,192,184,73,142,112
149,191,75,128,187,185,74,139,113
150,192,91,124,192,183,74,141,112
151,193,92,124,190,184,71,141,111
152,193,87,124,192,183,74,141,120
153,193,87,124,192,183,74,141,112
154,193,75,125,190,183,74,142,113
155,191,91,124,187,185,80,144,113
156,191,97,128,190,184,82,139,111
157,193,96,124,187,183,72,140,114
158,193,90,124,192,183,72,141,112
159,194,92,123,190,188,71,139,111
160,191,104,124,190,184,73,141,113
