,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,237,71,119,176,157,71,133,105
1,244,77,121,171,159,73,134,104
2,233,80,119,173,164,72,131,105
3,236,90,119,171,159,72,134,103
4,240,87,119,171,159,71,134,103
5,231,110,117,171,159,72,131,103
6,233,91,120,173,159,72,133,103
7,235,96,119,174,159,74,131,105
8,235,108,119,172,159,73,130,111
9,232,91,118,174,156,74,132,105
10,236,89,118,171,158,73,132,103
11,233,93,119,169,167,72,134,101
12,235,92,117,175,157,78,130,105
13,235,77,119,172,159,74,131,110
14,233,85,121,171,162,73,134,103
15,232,96,122,171,160,73,142,103
16,235,94,119,172,168,71,134,103
17,242,90,116,173,160,79,132,103
18,233,96,120,173,157,73,133,104
19,237,90,119,172,159,74,131,111
20,237,87,119,178,160,74,130,105
21,237,91,119,175,159,73,133,107
22,240,105,119,173,159,73,134,103
23,232,95,117,178,160,77,132,103
24,237,79,117,174,157,74,131,105
25,239,89,120,173,156,75,131,111
26,235,99,119,173,159,71,140,101
27,236,95,116,173,156,73,132,103
28,240,88,125,169,168,72,142,104
29,236,95,116,173,158,71,137,102
30,235,92,119,173,159,76,131,105
31,237,94,117,178,156,73,132,103
32,235,83,116,179,160,78,133,102
33,241,91,119,171,164,72,136,102
34,235,107,119,172,164,73,132,105
35,236,91,119,173,159,72,133,104
36,236,76,119,169,162,72,133,101
37,236,89,116,173,156,73,132,105
38,236,91,119,172,159,74,131,104
39,240,98,119,174,157,78,132,105
40,239,95,117,182,157,75,131,105
41,235,74,122,170,159,72,133,107
42,236,88,119,172,159,76,131,105
43,240,95,117,177,156,73,131,103
44,232,96,119,168,159,72,131,114
45,232,91,117,175,159,72,133,103
46,238,90,119,173,158,73,131,105
47,237,86,119,169,166,72,134,102
48,238,86,119,169,159,72,131,104
49,237,103,117,177,159,75,131,106
50,233,90,118,173,156,73,132,105
51,236,95,116,173,156,73,134,103
52,242,81,119,171,158,73,132,105
53,236,89,116,173,156,73,132,103
54,238,86,121,173,159,73,133,103
55,235,99,119,169,160,70,133,102
56,238,106,118,177,157,77,131,112
57,227,88,127,169,159,72,133,104
58,236,94,119,172,159,71,133,103
59,232,77,119,172,159,72,133,107
60,237,90,116,173,160,77,131,105
61,233,88,127,169,159,72,133,106
62,235,91,119,168,159,72,133,105
63,242,109,119,176,160,76,131,109
64,242,91,116,173,156,73,132,103
65,236,92,117,176,160,73,130,106
66,242,87,116,173,157,75,140,103
67,232,79,117,178,159,73,136,103
68,237,88,118,173,156,82,131,106
69,232,89,117,175,156,73,132,103
70,241,95,116,173,160,71,137,102
71,236,101,119,168,163,73,132,105
72,235,103,117,174,159,72,133,103
73,235,88,121,171,156,73,130,104
74,232,88,119,171,161,72,136,103
75,237,94,119,169,159,73,130,105
76,241,87,116,173,156,76,130,105
77,235,73,119,171,158,77,131,104
78,238,72,119,169,164,72,133,101
79,244,88,119,172,159,72,133,104
80,235,88,124,169,165,72,133,104
81,235,87,120,171,160,73,158,103
82,235,97,119,172,159,75,131,105
83,233,97,119,172,159,72,133,104
84,233,103,117,178,156,73,130,107
85,237,103,116,173,156,73,132,105
86,235,92,119,172,159,73,132,103
87,241,88,123,171,163,73,135,103
88,233,88,117,172,159,71,132,105
89,236,91,119,173,158,73,133,103
90,236,91,119,169,159,72,141,104
91,232,87,117,172,159,72,133,104
92,235,78,119,172,159,72,133,106
93,237,79,118,173,158,73,132,103
94,236,89,118,171,162,72,133,104
95,239,92,119,168,168,72,140,104
96,233,91,118,178,157,74,131,105
97,235,90,116,177,157,74,133,107
98,237,89,119,172,159,72,134,101
99,232,90,119,173,159,73,131,109
100,236,95,119,175,160,78,130,104
101,235,90,118,173,156,73,132,103
102,235,98,119,172,159,72,133,104
103,233,93,116,173,156,73,132,103
104,240,95,119,168,159,72,134,104
105,232,97,120,171,159,71,134,103
106,238,99,119,173,159,71,131,102
107,237,103,116,176,156,73,132,103
108,237,104,119,173,159,72,131,107
109,237,103,119,172,159,70,133,106
110,237,102,119,172,159,72,134,104
111,235,101,119,173,156,81,132,104
112,235,95,118,173,158,73,132,103
113,237,96,123,171,159,71,136,103
114,238,92,122,169,160,72,139,104
115,237,89,119,173,157,72,137,103
116,237,93,119,173,159,76,131,113
117,242,95,116,173,156,73,132,103
118,240,91,118,173,159,73,131,108
119,235,89,116,177,160,73,132,105
120,235,89,119,169,168,72,138,103
121,241,92,119,172,159,72,131,108
122,238,89,124,169,162,72,133,102
123,236,89,118,173,156,73,132,104
124,233,75,119,173,164,71,133,105
125,237,76,119,176,159,73,140,103
126,237,96,117,171,158,73,131,104
127,231,92,118,173,160,71,131,105
128,240,87,124,171,159,73,134,104
129,231,88,119,173,164,73,131,103
130,231,74,117,173,168,71,133,105
131,233,92,124,171,159,73,133,104
132,233,105,119,172,160,71,133,103
133,237,99,118,171,158,72,136,103
134,237,91,119,169,159,73,133,105
135,237,73,119,171,155,71,133,103
136,237,73,119,169,159,73,127,104
137,240,89,117,173,158,73,131,103
138,237,92,117,173,158,71,133,105
139,231,78,117,167,159,73,133,104
140,235,85,119,172,159,73,133,108
141,236,95,121,173,160,73,134,103
142,236,87,124,173,156,71,133,104
143,237,77,118,173,164,71,133,108
144,236,87,120,171,159,80,132,104
145,237,96,119,169,159,73,132,104
146,236,99,120,173,164,71,131,103
147,235,104,119,171,159,73,132,104
148,233,91,119,173,159,71,136,104
149,240,90,117,173,158,76,140,104
150,244,75,117,173,160,71,131,104
151,236,87,124,173,158,76,131,103
152,231,96,118,173,160,71,131,103
153,237,105,119,172,160,71,131,103
154,231,96,119,176,157,74,133,104
155,231,90,118,173,160,71,133,104
156,240,76,117,173,157,71,133,104
157,240,93,117,173,158,71,131,103
158,235,93,124,171,159,73,133,104
159,231,98,119,173,155,73,133,105
160,231,90,118,172,155,73,136,103
161,235,89,119,172,159,72,136,104
162,231,92,119,172,155,73,133,104
163,231,101,119,169,159,73,132,108
164,236,90,118,171,159,73,133,104
165,236,89,117,172,160,71,133,105
166,233,90,117,173,159,76,140,108
167,231,100,117,173,160,71,133,105
168,236,90,118,173,160,73,131,103
169,237,89,121,173,159,80,131,103
170,231,106,119,172,155,73,133,104
171,240,90,119,173,155,73,133,104
172,237,87,118,169,159,72,132,108
173,235,99,118,171,159,75,133,103
174,237,87,119,172,155,73,133,104
175,237,83,119,171,159,74,133,104
176,236,89,120,173,164,71,133,104
177,233,89,118,172,157,71,131,103
178,237,89,119,176,159,73,132,104
179,236,99,124,167,159,76,131,103
180,240,89,118,171,159,72,131,103
181,238,87,119,169,159,73,132,104
182,233,106,120,167,159,73,132,104
183,234,89,124,169,159,73,134,104
184,229,90,119,172,159,73,133,104
185,234,98,117,170,162,72,133,102
186,239,78,119,169,160,73,142,101
187,231,91,119,168,164,73,133,103
188,235,95,117,174,157,77,130,103
189,238,87,119,168,159,72,131,109
190,235,88,124,171,158,73,133,103
191,231,101,118,173,156,73,132,103
192,235,95,119,168,159,72,133,106
193,236,88,119,169,164,71,137,102
194,235,102,120,169,162,72,133,100
195,232,88,119,168,159,72,133,102
196,232,88,121,171,156,73,132,103
197,231,103,118,172,156,73,132,103
198,232,89,119,168,160,73,138,103
199,239,94,119,168,159,72,131,104
200,239,99,117,173,159,73,131,108
201,237,78,119,171,155,72,134,104
202,231,89,119,171,159,73,134,103
203,237,95,116,178,155,73,132,103
204,235,72,125,169,160,71,134,103
205,238,93,119,168,162,72,142,101
206,237,88,119,169,164,73,137,102
207,236,92,117,176,159,74,131,113
208,235,107,117,175,159,74,131,108
209,232,87,119,172,158,73,133,103
210,236,92,116,172,156,73,130,104
211,241,97,119,168,165,72,133,103
212,240,86,119,168,159,72,133,104
