,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
174,263,85,127,189,191,75,141,123
175,259,99,127,183,187,73,141,125
176,262,92,127,189,187,75,141,123
177,260,105,127,189,187,80,141,128
178,259,90,123,183,196,80,141,123
179,262,109,126,189,187,75,141,132
180,259,92,127,183,192,78,141,128
181,268,99,127,189,196,75,141,123
182,262,93,127,189,191,80,141,125
183,268,89,127,183,187,75,141,124
184,259,91,132,188,192,76,141,125
185,262,71,127,183,187,73,144,124
186,263,115,128,189,188,74,140,125
187,262,88,128,183,192,73,139,123
188,259,106,128,187,192,75,140,125
189,262,96,126,189,191,75,144,125
190,259,92,132,188,191,73,140,125
191,262,96,128,189,191,73,141,123
192,264,91,127,189,191,75,148,125
193,259,108,128,189,189,76,140,123
194,264,66,126,192,191,75,144,125
195,263,99,125,185,200,75,139,125
196,263,96,123,185,192,74,141,128
197,262,89,125,185,188,76,144,124
198,262,101,128,192,191,74,148,124
199,259,67,125,192,190,75,139,124
200,263,94,123,185,192,75,140,125
201,263,94,126,183,192,75,139,125
202,259,87,125,189,187,75,139,124
203,263,91,126,183,187,74,139,124
204,260,93,128,192,191,73,140,123
205,259,67,125,192,190,75,140,123
206,259,92,127,189,191,74,139,132
207,263,91,125,187,187,73,139,123
208,262,93,127,189,187,74,139,124
209,262,87,123,185,196,80,140,123
210,262,116,128,189,190,73,148,124
211,264,91,127,189,190,80,141,123
212,259,76,127,185,187,75,139,125
213,262,100,126,189,187,75,141,128
214,263,91,127,189,187,75,139,128
215,259,74,126,189,190,75,141,123
216,263,90,127,187,187,77,141,125
217,259,95,126,189,191,75,141,125
218,263,107,127,192,190,75,144,124
219,264,91,126,185,187,73,144,125
220,264,67,123,184,191,73,141,123
221,259,91,132,192,191,75,141,125
222,262,112,127,188,191,74,140,125
223,268,94,126,189,190,75,141,123
224,264,92,125,192,190,74,140,125
225,259,68,126,189,187,75,141,124
226,262,96,132,196,191,75,141,125
227,262,97,122,187,192,78,141,123
228,263,89,126,185,190,76,140,125
229,259,107,127,188,190,73,139,124
230,263,101,128,185,187,76,140,124
231,263,103,128,192,188,78,144,125
232,262,91,125,192,190,75,144,125
233,263,90,127,188,187,80,140,125
234,259,107,127,185,191,84,139,124
235,259,111,127,187,192,75,139,124
236,264,93,125,187,191,73,141,125
237,263,91,123,183,190,75,144,125
238,263,76,126,188,190,77,141,123
239,263,90,127,183,187,75,139,124
240,264,69,126,187,187,74,141,125
241,259,71,124,185,196,74,140,124
242,271,90,127,187,196,75,139,123
243,276,109,127,183,191,73,141,128
244,280,70,126,183,188,75,140,123
245,272,110,127,184,185,74,139,123
246,284,88,126,188,200,81,141,124
247,271,77,126,187,188,74,141,123
248,276,100,126,187,188,75,140,123
249,277,91,123,188,187,75,139,124
250,276,70,128,188,187,76,141,124
251,276,99,127,183,190,73,141,123
252,271,91,123,188,191,81,142,124
253,276,90,126,185,190,75,144,124
254,276,90,127,183,191,73,141,123
255,276,111,125,185,191,74,141,123
256,276,97,128,188,192,75,144,123
257,276,76,126,185,191,75,142,124
258,276,89,128,188,187,75,139,124
259,271,94,123,188,187,75,144,124
260,271,91,132,188,188,74,140,124
261,276,82,126,185,190,80,141,124
262,273,69,123,188,187,75,139,124
263,277,96,126,188,196,75,140,123
264,276,108,127,187,188,75,140,123
265,277,94,126,188,191,80,141,124
266,276,94,126,183,196,75,144,123
267,271,69,128,188,187,75,139,128
268,276,75,126,188,192,75,144,124
269,273,90,123,188,191,74,139,123
270,273,100,126,187,191,73,141,123
271,271,95,123,188,190,75,139,124
272,276,92,126,183,191,75,141,123
273,276,93,127,183,191,75,141,124
274,276,100,126,215,187,75,139,124
275,277,70,126,185,191,75,141,125
276,273,96,127,183,188,73,140,123
277,277,87,125,188,187,75,141,124
278,280,92,125,192,191,76,141,128
279,271,112,128,196,191,73,141,123
280,271,95,127,187,192,76,144,124
281,276,110,125,188,191,74,139,124
282,276,92,126,188,187,75,139,124
283,280,116,126,183,191,75,140,123
284,271,103,126,185,191,75,142,124
285,276,96,126,188,196,75,139,124
286,273,113,126,188,192,75,148,123
287,276,113,126,185,188,73,141,123
288,271,95,127,185,191,75,142,124
289,280,108,127,183,191,75,141,123
290,271,107,132,188,192,75,140,123
291,271,107,128,188,187,76,144,124
292,280,96,126,183,196,75,148,123
293,276,89,129,188,187,75,139,124
294,273,97,126,187,192,76,141,124
295,276,92,126,187,190,73,140,121
296,273,91,123,188,190,75,139,124
297,276,90,126,187,187,75,139,124
298,271,91,128,188,187,75,139,124
299,276,100,126,183,190,74,142,123
300,276,87,125,185,191,73,141,123
301,276,93,123,192,191,76,139,124
302,277,93,126,192,191,76,141,124
303,271,94,123,183,196,75,141,128
304,271,100,126,188,192,75,144,123
305,273,90,126,185,191,77,142,124
306,273,91,126,188,190,77,142,128
307,276,93,126,183,191,80,142,123
308,277,91,123,188,187,75,139,124
309,276,93,126,188,196,76,144,123
310,276,114,128,196,191,73,148,123
311,276,108,132,188,191,76,142,119
312,280,92,126,183,190,73,142,124
313,271,87,123,187,190,75,144,124
314,273,93,128,188,196,75,140,123
315,273,93,127,189,192,75,139,124
316,271,91,123,188,187,75,139,124
317,280,114,127,183,188,76,144,124
318,271,96,126,183,192,75,140,119
319,280,87,126,188,191,74,144,124
320,276,87,123,192,191,75,142,128
321,276,91,123,185,191,74,144,124
322,280,109,126,185,191,75,141,121
323,276,90,123,188,191,75,144,123
324,270,72,126,187,191,77,141,124
325,276,87,123,192,191,73,140,124
326,276,112,129,188,187,75,139,124
327,271,90,123,183,191,73,140,121
328,273,76,126,183,190,75,144,123
329,276,91,123,188,187,80,141,124
330,276,98,125,192,191,74,139,124
331,280,89,126,187,187,77,142,121
332,276,95,126,188,191,80,141,124
333,276,87,128,188,200,75,144,123
334,271,81,126,192,191,74,141,124
335,271,100,132,188,192,75,139,124
336,271,96,132,188,192,75,140,119
337,276,89,126,183,191,75,142,124
338,280,107,126,188,191,75,139,124
339,280,70,126,185,191,75,142,123
340,273,93,132,188,187,75,141,124
341,280,107,126,188,187,75,142,124
342,276,108,126,188,191,81,145,125
343,274,91,126,191,193,76,141,122
344,279,88,126,194,191,74,140,127
345,271,91,123,187,191,84,142,124
346,277,103,126,189,190,75,141,123
347,276,93,126,186,188,72,138,120
348,271,70,125,187,200,81,146,124
349,271,93,124,185,187,75,139,123
350,271,108,125,187,191,78,148,126
351,276,89,127,187,191,80,143,125
352,275,88,123,187,191,75,151,131
353,271,92,126,185,191,74,139,124
354,271,93,127,188,191,75,142,124
355,276,94,127,187,191,80,141,124
356,274,99,129,188,192,76,144,123
357,271,67,128,188,187,74,139,124
358,271,104,132,188,187,75,139,124
359,280,96,126,187,192,74,142,123
360,274,91,123,188,187,75,141,124
361,271,91,124,188,188,75,142,119
362,276,93,126,185,191,80,139,124
363,280,96,128,187,188,73,142,119
364,263,93,123,187,191,74,139,124
365,276,92,126,187,192,75,144,124
366,276,90,125,188,187,75,139,123
367,264,97,127,183,190,73,142,123
368,259,91,124,187,196,75,140,121
369,263,95,123,188,190,75,139,124
370,274,96,126,192,191,80,141,124
371,259,93,126,183,191,73,142,128
372,263,91,123,188,190,75,139,124
373,259,96,126,183,191,73,142,122
374,274,89,123,188,187,75,139,124
375,274,90,126,183,191,77,142,124
376,273,91,125,188,187,76,139,124
377,275,71,123,188,189,75,139,124
378,271,113,128,188,187,76,144,124
379,271,91,126,188,192,76,139,123
380,276,87,123,188,191,74,141,124
381,271,90,128,188,192,75,144,123
382,271,87,128,188,192,75,144,123
383,271,107,126,196,191,74,142,124
384,275,90,123,188,187,75,139,124
385,276,90,126,183,200,75,144,123
386,272,116,126,187,192,75,140,121
387,271,87,132,188,196,76,144,122
388,275,90,126,185,191,73,140,124
389,275,93,126,192,191,74,139,124
390,271,69,123,192,191,82,141,119
391,273,87,125,192,196,75,139,124
392,275,110,123,192,191,81,139,124
393,273,96,128,188,188,73,141,121
394,273,99,126,188,187,74,142,123
395,272,112,136,187,188,74,142,121
396,273,90,126,183,187,76,142,123
397,273,89,132,188,192,75,148,123
398,274,113,126,187,188,75,139,122
399,273,95,126,183,190,73,142,119
400,275,77,126,192,191,75,144,124
401,271,98,128,188,190,75,142,121
402,271,109,126,185,191,75,144,124
403,275,87,128,188,187,75,144,119
404,273,92,124,188,192,75,144,123
405,273,96,126,188,191,74,142,123
406,274,113,128,192,187,73,139,124
407,273,93,126,185,191,73,142,123
408,271,96,128,188,192,75,140,122
409,280,92,128,192,191,75,139,128
410,275,94,126,185,191,77,142,124
411,271,114,125,188,191,73,139,124
412,272,96,126,183,190,73,142,121
413,271,71,128,188,191,74,140,123
414,275,90,123,188,187,75,139,122
415,271,114,126,188,191,77,141,122
416,275,95,126,192,191,80,142,122
417,271,93,126,196,191,74,140,124
418,275,90,125,188,189,75,139,123
419,271,96,126,183,190,74,142,119
420,274,69,126,188,187,74,141,128
421,272,91,126,183,191,75,142,123
422,275,100,125,185,191,75,141,128
423,271,110,128,188,190,74,139,123
424,275,93,126,185,191,75,142,128
425,271,94,126,183,191,75,142,121
426,271,94,132,188,190,74,139,122
427,271,69,128,188,192,75,142,122
428,271,91,125,188,189,75,139,123
429,275,90,125,192,187,75,139,124
430,271,96,127,183,191,75,141,121
431,272,116,127,185,191,75,142,125
432,274,111,126,192,191,84,142,122
433,271,91,132,188,192,75,139,122
434,272,96,126,183,190,73,142,121
435,276,96,126,187,192,75,148,119
436,272,96,126,190,190,73,138,121
437,269,99,126,184,186,73,139,121
438,277,95,132,188,188,73,138,121
439,271,87,134,186,186,73,139,123
440,271,69,123,183,191,75,142,123
441,272,89,124,184,192,74,142,123
442,274,84,126,188,199,80,143,123
443,274,88,126,191,191,72,138,121
444,271,92,123,183,191,75,141,123
445,272,111,126,184,187,75,139,123
446,277,107,126,191,192,74,140,120
447,271,96,126,188,187,75,147,120
448,271,86,126,188,200,79,145,123
449,276,70,126,191,192,76,141,123
450,272,71,134,187,188,73,139,121
451,276,88,126,195,191,72,139,123
452,271,102,123,187,191,75,142,123
453,276,108,126,188,191,80,145,127
454,274,109,130,186,188,74,139,121
455,277,96,123,187,191,79,142,120
456,279,69,126,188,198,79,142,123
457,278,97,124,184,192,74,139,123
458,271,92,123,187,191,75,142,123
459,272,90,126,191,191,72,139,127
460,271,92,123,187,191,75,150,131
