,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,268,89,136,183,215,76,165,126
1,263,94,129,188,215,75,164,127
2,259,77,131,192,215,75,163,127
3,259,93,129,189,212,75,163,127
4,263,107,129,189,211,75,163,126
5,268,73,129,189,215,75,163,128
6,263,91,131,192,211,76,168,126
7,263,99,131,192,211,75,165,126
8,262,94,131,187,215,74,168,126
9,262,97,131,188,216,75,163,128
10,262,110,131,185,214,75,164,126
11,263,91,130,189,211,76,164,127
12,263,93,131,189,214,75,163,127
13,263,107,131,192,211,75,161,127
14,263,91,131,192,211,75,164,126
15,263,92,129,189,215,76,164,132
16,262,95,131,189,211,77,161,126
17,258,94,131,189,211,75,165,129
18,259,95,132,189,211,75,164,127
19,264,97,131,196,214,74,163,126
20,268,100,131,188,216,73,163,127
21,264,98,131,187,215,75,163,128
22,262,100,131,190,216,76,172,125
23,264,78,130,192,215,77,164,126
24,263,103,132,192,215,76,164,126
25,259,93,129,187,216,75,164,125
26,264,97,130,190,214,77,168,129
27,264,95,131,190,212,75,163,127
28,259,75,130,187,215,75,165,129
29,264,107,131,192,214,76,164,125
30,259,94,132,188,216,75,164,127
31,263,95,130,190,211,74,163,127
32,257,93,132,190,211,76,164,132
33,259,91,132,188,216,75,163,128
34,264,91,132,190,216,73,163,127
35,259,93,130,190,214,76,164,127
36,264,91,136,187,214,74,161,128
37,264,96,129,187,214,75,164,136
38,259,93,131,188,214,72,163,126
39,266,92,129,188,214,75,163,127
40,264,108,132,185,218,75,168,128
41,264,92,132,195,209,75,166,128
42,259,94,128,185,215,74,163,133
43,265,97,131,194,209,83,160,133
44,265,94,131,188,214,72,164,124
45,264,101,132,200,211,76,161,127
46,265,101,136,191,216,76,163,127
47,263,95,129,191,214,74,161,126
48,266,80,136,187,214,80,161,128
49,264,104,136,190,214,73,164,127
50,266,94,136,191,214,75,163,126
51,263,94,131,191,211,75,164,128
52,263,116,132,192,211,76,164,128
53,266,95,129,190,216,76,161,126
54,267,91,132,192,211,75,164,126
55,264,104,132,190,214,76,161,128
56,266,78,132,191,211,75,163,127
57,267,99,136,191,214,76,164,127
58,263,95,132,187,214,74,162,127
59,268,82,131,187,214,74,163,125
